Date,Channel,Campaign_ID,Spend,Clicks,Impressions,Leads,Purchases,Revenue,Sessions,ConversionRate,CTR,CPM,CPC,CAC,ROAS,LTV_Est,Workflow_ID,Timestamp,KPI_Version,Health_Score
2025-11-27,Meta,BlackFriday,492.44,350,5250,13,17,447.82,342,0.05,0.067,93.8,1.41,28.97,0.91,26.36,mock-gen,2025-11-27T20:28:29.650713,1.0,🔴
2025-11-27,Google,Summer2024,444.79,172,1032,11,21,1008.49,166,0.127,0.167,431.0,2.59,21.18,2.27,48.08,mock-gen,2025-11-27T20:28:29.650748,1.0,🟡
2025-11-27,CRM,Retargeting,286.12,135,810,40,36,1206.53,115,0.313,0.167,353.23,2.12,7.95,4.22,33.55,mock-gen,2025-11-27T20:28:29.650765,1.0,🟢
2025-11-26,Meta,BlackFriday,236.01,890,5340,50,16,741.63,940,0.017,0.167,44.2,0.27,14.75,3.14,46.32,mock-gen,2025-11-27T20:28:29.650792,1.0,🟢
2025-11-26,Google,Summer2024,464.37,382,3438,12,13,166.68,418,0.031,0.111,135.07,1.22,35.72,0.36,12.86,mock-gen,2025-11-27T20:28:29.650813,1.0,🔴
2025-11-26,CRM,Retargeting,301.14,435,3045,21,38,883.5,423,0.09,0.143,98.9,0.69,7.92,2.93,23.21,mock-gen,2025-11-27T20:28:29.650829,1.0,🟡
2025-11-25,Meta,BlackFriday,408.0,173,865,90,50,1334.77,209,0.239,0.2,471.68,2.36,8.16,3.27,26.68,mock-gen,2025-11-27T20:28:29.650850,1.0,🟢
2025-11-25,Google,Summer2024,422.95,674,10110,63,20,425.07,685,0.029,0.067,41.83,0.63,21.15,1.01,21.36,mock-gen,2025-11-27T20:28:29.650867,1.0,🔴
2025-11-25,CRM,Retargeting,279.76,711,6399,29,27,944.76,689,0.039,0.111,43.72,0.39,10.36,3.38,35.02,mock-gen,2025-11-27T20:28:29.650882,1.0,🟢
2025-11-24,Meta,BlackFriday,189.93,947,12311,68,39,504.49,990,0.039,0.077,15.43,0.2,4.87,2.66,12.95,mock-gen,2025-11-27T20:28:29.650897,1.0,🟡
2025-11-24,Google,Summer2024,329.85,686,6860,18,22,668.59,726,0.03,0.1,48.08,0.48,14.99,2.03,30.43,mock-gen,2025-11-27T20:28:29.650911,1.0,🟡
2025-11-24,CRM,Retargeting,115.95,702,8424,65,9,232.22,718,0.013,0.083,13.76,0.17,12.88,2.0,25.76,mock-gen,2025-11-27T20:28:29.650924,1.0,🟡
2025-11-23,Meta,BlackFriday,466.79,891,10692,21,42,1103.12,867,0.048,0.083,43.66,0.52,11.11,2.36,26.22,mock-gen,2025-11-27T20:28:29.650938,1.0,🟡
2025-11-23,Google,Summer2024,413.7,306,3366,82,12,215.66,344,0.035,0.091,122.91,1.35,34.48,0.52,17.93,mock-gen,2025-11-27T20:28:29.650952,1.0,🔴
2025-11-23,CRM,Retargeting,400.65,776,10864,59,38,1846.57,784,0.048,0.071,36.88,0.52,10.54,4.61,48.59,mock-gen,2025-11-27T20:28:29.650965,1.0,🟢
2025-11-22,Meta,BlackFriday,485.57,469,3752,27,17,384.47,434,0.039,0.125,129.42,1.04,28.56,0.79,22.56,mock-gen,2025-11-27T20:28:29.650979,1.0,🔴
2025-11-22,Google,Summer2024,397.06,849,5943,90,47,1351.61,817,0.058,0.143,66.81,0.47,8.45,3.4,28.73,mock-gen,2025-11-27T20:28:29.650992,1.0,🟢
2025-11-22,CRM,Retargeting,117.25,732,7320,62,9,297.44,731,0.012,0.1,16.02,0.16,13.03,2.54,33.1,mock-gen,2025-11-27T20:28:29.651006,1.0,🟡
2025-11-21,Meta,BlackFriday,187.06,927,10197,47,19,744.61,976,0.019,0.091,18.34,0.2,9.85,3.98,39.2,mock-gen,2025-11-27T20:28:29.651021,1.0,🟢
2025-11-21,Google,Summer2024,152.89,703,5624,40,38,1242.53,717,0.053,0.125,27.19,0.22,4.02,8.13,32.68,mock-gen,2025-11-27T20:28:29.651034,1.0,🟢
2025-11-21,CRM,Retargeting,137.55,537,6981,21,7,114.2,569,0.012,0.077,19.7,0.26,19.65,0.83,16.31,mock-gen,2025-11-27T20:28:29.651047,1.0,🔴
